,Unnamed: 0,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡,日期
184,0.0,广东省,78,2,0,清远,1,0,0,2,0,0,2020-01-25
185,0.0,广东省,78,2,0,东莞,1,0,0,1,0,0,2020-01-25
186,0.0,广东省,78,2,0,汕头,1,0,0,1,0,0,2020-01-25
187,0.0,宁夏回族自治区,3,0,0,银川,0,0,0,1,0,0,2020-01-25
188,0.0,宁夏回族自治区,3,0,0,中卫,0,0,0,1,0,0,2020-01-25
189,0.0,宁夏回族自治区,3,0,0,固原,1,0,0,1,0,0,2020-01-25
190,0.0,云南省,11,0,0,昆明,1,0,0,4,0,0,2020-01-25
191,0.0,云南省,11,0,0,丽江市,1,0,0,2,0,0,2020-01-25
192,0.0,云南省,11,0,0,西双版纳州,0,0,0,1,0,0,2020-01-25
193,0.0,云南省,11,0,0,曲靖,1,0,0,1,0,0,2020-01-25
194,0.0,云南省,11,0,0,玉溪,1,0,0,1,0,0,2020-01-25
195,0.0,云南省,11,0,0,红河,1,0,0,1,0,0,2020-01-25
196,0.0,云南省,11,0,0,大理,1,0,0,1,0,0,2020-01-25
197,0.0,黑龙江省,9,0,1,哈尔滨,5,0,0,6,0,0,2020-01-25
198,0.0,黑龙江省,9,0,1,牡丹江,0,0,0,1,0,0,2020-01-25
199,0.0,黑龙江省,9,0,1,大庆,0,0,0,1,0,0,2020-01-25
200,0.0,黑龙江省,9,0,1,绥化,0,0,0,1,0,1,2020-01-25
201,0.0,河北省,8,0,1,石家庄,3,0,0,4,0,0,2020-01-25
202,0.0,河北省,8,0,1,沧州,1,0,0,2,0,1,2020-01-25
203,0.0,河北省,8,0,1,保定,1,0,0,1,0,0,2020-01-25
204,0.0,河北省,8,0,1,承德,1,0,0,1,0,0,2020-01-25
205,0.0,浙江省,62,1,0,台州,2,0,0,20,0,0,2020-01-25
206,0.0,浙江省,62,1,0,杭州,6,0,0,12,0,0,2020-01-25
207,0.0,浙江省,62,1,0,温州,4,0,0,10,1,0,2020-01-25
208,0.0,浙江省,62,1,0,宁波,1,0,0,6,0,0,2020-01-25
209,0.0,浙江省,62,1,0,绍兴,3,0,0,4,0,0,2020-01-25
210,0.0,浙江省,62,1,0,嘉兴,1,0,0,4,0,0,2020-01-25
211,0.0,浙江省,62,1,0,舟山,1,0,0,2,0,0,2020-01-25
212,0.0,浙江省,62,1,0,金华,1,0,0,2,0,0,2020-01-25
213,0.0,浙江省,62,1,0,衢州,0,0,0,2,0,0,2020-01-25
214,0.0,安徽省,39,0,0,合肥,4,0,0,10,0,0,2020-01-25
215,0.0,安徽省,39,0,0,阜阳,5,0,0,7,0,0,2020-01-25
216,0.0,安徽省,39,0,0,亳州,3,0,0,4,0,0,2020-01-25
217,0.0,安徽省,39,0,0,安庆,3,0,0,4,0,0,2020-01-25
218,0.0,安徽省,39,0,0,马鞍山,4,0,0,4,0,0,2020-01-25
219,0.0,安徽省,39,0,0,铜陵,3,0,0,3,0,0,2020-01-25
220,0.0,安徽省,39,0,0,六安,0,0,0,2,0,0,2020-01-25
221,0.0,安徽省,39,0,0,滁州,1,0,0,2,0,0,2020-01-25
222,0.0,安徽省,39,0,0,池州,0,0,0,1,0,0,2020-01-25
223,0.0,安徽省,39,0,0,蚌埠,0,0,0,1,0,0,2020-01-25
224,0.0,安徽省,39,0,0,芜湖,1,0,0,1,0,0,2020-01-25
225,0.0,江苏省,18,1,0,常州,5,0,0,5,0,0,2020-01-25
226,0.0,江苏省,18,1,0,南京,1,0,0,4,0,0,2020-01-25
227,0.0,江苏省,18,1,0,苏州,1,1,0,3,1,0,2020-01-25
228,0.0,江苏省,18,1,0,连云港,0,0,0,1,0,0,2020-01-25
229,0.0,江苏省,18,1,0,扬州,0,0,0,1,0,0,2020-01-25
230,0.0,江苏省,18,1,0,南通,0,0,0,1,0,0,2020-01-25
231,0.0,江苏省,18,1,0,无锡,0,0,0,1,0,0,2020-01-25
232,0.0,江苏省,18,1,0,盐城,1,0,0,1,0,0,2020-01-25
233,0.0,江苏省,18,1,0,宿迁,1,0,0,1,0,0,2020-01-25
234,0.0,青海省,1,0,0,西宁,1,0,0,1,0,0,2020-01-25
235,0.0,湖北省,730,32,39,武汉,77,1,15,572,32,38,2020-01-25
236,0.0,湖北省,730,32,39,黄冈,52,0,0,64,0,0,2020-01-25
237,0.0,湖北省,730,32,39,黄石,31,0,1,31,0,1,2020-01-25
238,0.0,湖北省,730,32,39,孝感,4,0,0,26,0,0,2020-01-25
239,0.0,湖北省,730,32,39,荆门,13,0,0,21,0,0,2020-01-25
240,0.0,湖北省,730,32,39,恩施州,11,0,0,11,0,0,2020-01-25
241,0.0,湖北省,730,32,39,荆州,2,0,0,10,0,0,2020-01-25
242,0.0,湖北省,730,32,39,仙桃,8,0,0,10,0,0,2020-01-25
243,0.0,湖北省,730,32,39,十堰,4,0,0,5,0,0,2020-01-25
244,0.0,湖北省,730,32,39,随州,5,0,0,5,0,0,2020-01-25
245,0.0,湖北省,730,32,39,天门,3,0,0,3,0,0,2020-01-25
246,0.0,湖北省,730,32,39,宜昌,0,0,0,1,0,1,2020-01-25
247,0.0,湖北省,730,32,39,鄂州,1,0,0,1,0,0,2020-01-25
248,0.0,湖北省,730,32,39,襄阳,1,0,0,1,0,0,2020-01-25
249,0.0,辽宁省,16,0,0,沈阳,3,0,0,5,0,0,2020-01-25
250,0.0,辽宁省,16,0,0,大连,3,0,0,4,0,0,2020-01-25
251,0.0,辽宁省,16,0,0,朝阳,1,0,0,2,0,0,2020-01-25
252,0.0,辽宁省,16,0,0,铁岭,2,0,0,2,0,0,2020-01-25
253,0.0,辽宁省,16,0,0,葫芦岛,2,0,0,2,0,0,2020-01-25
254,0.0,辽宁省,16,0,0,本溪,1,0,0,1,0,0,2020-01-25
255,0.0,陕西省,15,0,0,西安,2,0,0,4,0,0,2020-01-25
256,0.0,陕西省,15,0,0,咸阳,2,0,0,3,0,0,2020-01-25
257,0.0,陕西省,15,0,0,安康,2,0,0,3,0,0,2020-01-25
258,0.0,陕西省,15,0,0,铜川,3,0,0,3,0,0,2020-01-25
259,0.0,陕西省,15,0,0,延安,0,0,0,1,0,0,2020-01-25
260,0.0,陕西省,15,0,0,商洛,1,0,0,1,0,0,2020-01-25
261,0.0,江西省,18,0,0,抚州,3,0,0,4,0,0,2020-01-25
262,0.0,江西省,18,0,0,南昌,1,0,0,3,0,0,2020-01-25
263,0.0,江西省,18,0,0,九江,1,0,0,2,0,0,2020-01-25
264,0.0,江西省,18,0,0,赣州,2,0,0,2,0,0,2020-01-25
265,0.0,江西省,18,0,0,上饶,2,0,0,2,0,0,2020-01-25
266,0.0,江西省,18,0,0,萍乡,0,0,0,1,0,0,2020-01-25
267,0.0,江西省,18,0,0,新余,0,0,0,1,0,0,2020-01-25
268,0.0,江西省,18,0,0,吉安,0,0,0,1,0,0,2020-01-25
269,0.0,江西省,18,0,0,景德镇,1,0,0,1,0,0,2020-01-25
270,0.0,江西省,18,0,0,宜春,1,0,0,1,0,0,2020-01-25
271,0.0,北京市,41,2,0,外地来京人员,1,0,0,11,0,0,2020-01-25
272,0.0,北京市,41,2,0,海淀,2,0,0,8,0,0,2020-01-25
