name,value,date
山东省,487,2020-02-11
湖南省,912,2020-02-11
广东省,1177,2020-02-11
天津市,105,2020-02-11
宁夏回族自治区,53,2020-02-11
云南省,153,2020-02-11
辽宁省,111,2020-02-11
河北省,239,2020-02-11
浙江省,1117,2020-02-11
安徽省,860,2020-02-11
江苏省,515,2020-02-11
上海市,303,2020-02-11
黑龙江省,360,2020-02-11
江西省,844,2020-02-12
四川省,436,2020-02-12
贵州省,133,2020-02-12
河南省,1135,2020-02-12
福建省,272,2020-02-12
广西壮族自治区,222,2020-02-12
陕西省,225,2020-02-12
吉林省,83,2020-02-12
重庆市,509,2020-02-12
山西省,124,2020-02-12
新疆维吾尔自治区,59,2020-02-12
海南省,157,2020-02-12
辽宁省,116,2020-02-12
北京市,352,2020-02-12
上海市,311,2020-02-12
山东省,497,2020-02-12
湖南省,946,2020-02-12
内蒙古自治区,60,2020-02-12
广东省,1219,2020-02-12
天津市,112,2020-02-12
宁夏回族自治区,58,2020-02-12
湖北省,33366,2020-02-12
黑龙江省,378,2020-02-12
河北省,251,2020-02-12
浙江省,1131,2020-02-12
安徽省,889,2020-02-12
江苏省,543,2020-02-12
云南省,154,2020-02-12
陕西省,229,2020-02-13
江西省,872,2020-02-13
北京市,366,2020-02-13
四川省,451,2020-02-13
贵州省,135,2020-02-13
吉林省,84,2020-02-13
福建省,279,2020-02-13
重庆市,525,2020-02-13
山西省,126,2020-02-13
甘肃省,90,2020-02-13
辽宁省,117,2020-02-13
河南省,1169,2020-02-13
新疆维吾尔自治区,63,2020-02-13
上海市,315,2020-02-13
江苏省,570,2020-02-13
山东省,509,2020-02-13
湖南省,968,2020-02-13
内蒙古自治区,61,2020-02-13
广东省,1241,2020-02-13
天津市,117,2020-02-13
湖北省,48206,2020-02-13
云南省,156,2020-02-13
黑龙江省,395,2020-02-13
河北省,265,2020-02-13
浙江省,1145,2020-02-13
安徽省,910,2020-02-13
宁夏回族自治区,64,2020-02-13
江西省,900,2020-02-14
北京市,372,2020-02-14
四川省,463,2020-02-14
贵州省,140,2020-02-14
河南省,1184,2020-02-14
广西壮族自治区,226,2020-02-14
海南省,159,2020-02-14
吉林省,86,2020-02-14
重庆市,532,2020-02-14
新疆维吾尔自治区,65,2020-02-14
陕西省,230,2020-02-14
福建省,281,2020-02-14
辽宁省,119,2020-02-14
湖北省,51986,2020-02-14
上海市,318,2020-02-14
湖南省,988,2020-02-14
内蒙古自治区,65,2020-02-14
广东省,1261,2020-02-14
天津市,120,2020-02-14
宁夏回族自治区,67,2020-02-14
山东省,523,2020-02-14
黑龙江省,419,2020-02-14
河北省,283,2020-02-14
浙江省,1155,2020-02-14
安徽省,934,2020-02-14
江苏省,593,2020-02-14
云南省,162,2020-02-14
北京市,375,2020-02-15
四川省,470,2020-02-15
贵州省,143,2020-02-15
河南省,1212,2020-02-15
福建省,285,2020-02-15
吉林省,88,2020-02-15
广西壮族自治区,235,2020-02-15
重庆市,538,2020-02-15
山西省,127,2020-02-15
新疆维吾尔自治区,70,2020-02-15
江西省,913,2020-02-15
海南省,162,2020-02-15
陕西省,232,2020-02-15
上海市,326,2020-02-15
山东省,532,2020-02-15
湖南省,1001,2020-02-15
内蒙古自治区,68,2020-02-15
广东省,1294,2020-02-15
天津市,122,2020-02-15
宁夏回族自治区,70,2020-02-15
湖北省,54406,2020-02-15
黑龙江省,425,2020-02-15
河北省,291,2020-02-15
浙江省,1162,2020-02-15
安徽省,950,2020-02-15
江苏省,604,2020-02-15
云南省,168,2020-02-15
江西省,925,2020-02-16
北京市,380,2020-02-16
四川省,481,2020-02-16
贵州省,144,2020-02-16
河南省,1231,2020-02-16
吉林省,89,2020-02-16
广西壮族自治区,237,2020-02-16
重庆市,547,2020-02-16
山西省,128,2020-02-16
新疆维吾尔自治区,71,2020-02-16
陕西省,236,2020-02-16
福建省,287,2020-02-16
湖北省,56249,2020-02-16
浙江省,1167,2020-02-16
上海市,328,2020-02-16
山东省,537,2020-02-16
湖南省,1004,2020-02-16
内蒙古自治区,70,2020-02-16
辽宁省,121,2020-02-16
天津市,124,2020-02-16
广东省,1316,2020-02-16
黑龙江省,445,2020-02-16
河北省,300,2020-02-16
安徽省,962,2020-02-16
江苏省,617,2020-02-16
云南省,171,2020-02-16
福建省,290,2020-02-17
四川省,495,2020-02-17
贵州省,146,2020-02-17
河南省,1246,2020-02-17
新疆维吾尔自治区,75,2020-02-17
北京市,381,2020-02-17
广西壮族自治区,238,2020-02-17
重庆市,552,2020-02-17
山西省,129,2020-02-17
甘肃省,91,2020-02-17
海南省,163,2020-02-17
江西省,930,2020-02-17
黑龙江省,457,2020-02-17
湖北省,58182,2020-02-17
山东省,541,2020-02-17
湖南省,1006,2020-02-17
内蒙古自治区,72,2020-02-17
广东省,1322,2020-02-17
天津市,125,2020-02-17
陕西省,240,2020-02-17
浙江省,1171,2020-02-17
安徽省,973,2020-02-17
江苏省,626,2020-02-17
上海市,332,2020-02-17
河北省,301,2020-02-17
新疆维吾尔自治区,76,2020-02-18
山西省,130,2020-02-18
重庆市,553,2020-02-18
广西壮族自治区,242,2020-02-18
福建省,292,2020-02-18
河南省,1257,2020-02-18
四川省,508,2020-02-18
北京市,387,2020-02-18
湖北省,59989,2020-02-18
上海市,333,2020-02-18
江西省,933,2020-02-18
安徽省,982,2020-02-18
山东省,543,2020-02-18
湖南省,1007,2020-02-18
内蒙古自治区,73,2020-02-18
广东省,1328,2020-02-18
江苏省,629,2020-02-18
云南省,172,2020-02-18
